s__Actinobaculum_massiliense,s__Actinomyces_europaeus,s__Actinomyces_neuii,s__Actinomyces_radingae,s__Actinomyces_turicensis,s__Actinotignum_schaalii,s__Actinotignum_timonense,s__Aerococcus_sanguinicola,s__Aerococcus_urinae,s__Alloscardovia_omnicolens,s__Anaerococcus_hydrogenalis,s__Anaerococcus_lactolyticus,s__Anaerococcus_octavius,s__Anaerococcus_prevotii,s__Anaerococcus_vaginalis,s__Atopobium_deltae,s__Atopobium_minutum,s__Atopobium_vaginae,s__Bacteroides_coagulans,s__Bacteroides_uniformis,s__Bacteroides_vulgatus,s__Bifidobacterium_breve,s__Bifidobacterium_dentium,s__Bifidobacterium_longum,s__Blautia_obeum,s__Blautia_wexlerae,s__Brevibacterium_ravenspurgense,s__Campylobacter_ureolyticus,s__Collinsella_aerofaciens,s__Corynebacterium_afermentans,s__Corynebacterium_amycolatum,s__Corynebacterium_aurimucosum,s__Corynebacterium_coyleae,s__Corynebacterium_imitans,s__Corynebacterium_pseudogenitalium,s__Corynebacterium_pyruviciproducens,s__Corynebacterium_riegelii,s__Corynebacterium_simulans,s__Corynebacterium_sp_NML130628,s__Corynebacterium_sp_NML140438,s__Corynebacterium_urealyticum,s__Cutibacterium_avidum,s__Dermabacter_hominis,s__Dialister_micraerophilus,s__Enterococcus_faecalis,s__Escherichia_coli,s__Eubacterium_rectale,s__Facklamia_hominis,s__Facklamia_ignava,s__Finegoldia_magna,s__Fusobacterium_nucleatum,s__Gardnerella_vaginalis,s__Gemella_asaccharolytica,s__Klebsiella_pneumoniae,s__Klebsiella_quasipneumoniae,s__Klebsiella_variicola,s__Lactobacillus_crispatus,s__Lactobacillus_gasseri,s__Lactobacillus_iners,s__Lactobacillus_jensenii,s__Lactobacillus_paragasseri,s__Lactobacillus_vaginalis,s__Lawsonella_clevelandensis,s__Mobiluncus_curtisii,s__Negativicoccus_succinicivorans,s__Peptococcus_niger,s__Peptoniphilus_coxii,s__Peptoniphilus_duerdenii,s__Peptoniphilus_harei,s__Peptoniphilus_lacrimalis,s__Peptoniphilus_sp_HMSC062D09,s__Porphyromonas_asaccharolytica,s__Porphyromonas_sp_HMSC065F10,s__Porphyromonas_uenonis,s__Prevotella_bergensis,s__Prevotella_bivia,s__Prevotella_buccalis,s__Prevotella_colorans,s__Prevotella_corporis,s__Prevotella_disiens,s__Prevotella_sp_S7_1_8,s__Prevotella_timonensis,s__Propionimicrobium_lymphophilum,s__Slackia_exigua,s__Staphylococcus_epidermidis,s__Staphylococcus_haemolyticus,s__Staphylococcus_hominis,s__Staphylococcus_lugdunensis,s__Staphylococcus_simulans,s__Streptococcus_agalactiae,s__Streptococcus_anginosus_group,s__Streptococcus_mitis,s__Streptococcus_oralis,s__Streptococcus_salivarius,s__Streptococcus_thermophilus,s__Trueperella_bernardiae,s__Varibaculum_cambriense,s__Veillonella_atypica,s__Veillonella_parvula
14878,1684,0,0,0,0,0,0,0,0,34599,0,0,169,0,0,0,0,0,0,0,0,0,0,0,0,0,946,0,0,0,0,0,0,0,48098,0,0,1677,2108,0,0,0,0,7463,0,0,14659,0,19438,0,0,0,0,0,0,0,0,348604,0,0,0,0,0,0,0,0,0,5622,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4603,0,14750,0,0,0,0,0,0,0,0,6896,4394,0,0
25726,93769,430,0,73877,0,171341,40910,36043,210863,136,0,0,1988,1420,0,66084,0,7170,0,0,0,0,0,0,0,1322,79098,0,794,133681,7643,0,0,11854,0,0,0,10602,36953,0,38284,14567,4702,107242,9724,0,1018676,764997,933796,23100,1596,2822,9362,1231,0,0,0,259,0,0,0,23875,0,3605,2322,121848,0,769051,0,8214,0,0,0,0,778838,3805,0,0,0,0,0,125040,0,359949,924212,27285,1667,0,0,8903,0,0,0,0,0,83146,0,0
6707,0,597,0,4002,329,0,0,0,0,118395,0,4860,885,0,583,0,53216,0,0,0,0,0,0,0,0,0,0,0,0,535,0,0,0,6094,4324,0,2240,0,0,0,46,0,0,4073,23916,0,4566,0,145150,0,0,205,1531,0,1339,0,114252,0,0,19427,0,0,0,1826,0,0,0,64007,0,0,0,0,0,0,72730,103,0,0,0,0,0,0,0,20683,5404,9142,0,0,0,0,15795,0,0,0,0,1465,3058,0
0,0,0,4202,0,3419,0,0,2625,0,0,0,1859,658,0,0,0,0,0,0,0,0,0,0,0,8908,62919,0,0,0,29713,0,2314608,0,0,0,0,109767,114,1181,0,0,0,0,189522,0,81,0,207,228229,5999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11577,0,0,0,0,75,0,0,1294,0,0,0,0,195855,105624,0,5243,0,0,1445,0,0,0,0,2197,237,166,199877,25375,0,0
0,1567,0,232,0,0,4142,0,0,0,24164,0,0,0,0,0,5553,2298001,0,0,0,0,0,0,0,0,85046,1048,0,119,33929,94686,546545,2200,2490,0,90648,7748,0,0,0,0,2323,0,0,0,0,10038,100515,17153,462,3747213,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3350,0,22853,3102,2124,0,1146,0,0,5260,0,0,0,0,0,5308,2237,0,3261,461,0,779,0,0,96363,0,0,0,0,0,5246,0,0
0,0,0,0,0,0,1408,0,5294,0,0,0,0,0,0,0,1491,0,0,0,121,702450,9842,1794,0,0,0,69,0,0,0,0,2134,0,0,24581,0,0,0,0,0,0,0,0,704783,0,0,596,932,1112,0,0,0,0,0,0,0,0,0,0,179,0,0,0,0,0,0,0,199,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,632,0,0,0,2884,10719669,0,0,0,0,0,0,0,464,0
0,56649,0,0,0,0,677597,0,2195,302404,0,0,0,51,933,747,3704,0,886,0,0,0,0,0,0,0,0,52015,0,0,385,0,0,0,0,311021,0,1512,410,1639,0,0,0,0,6388,4364,0,226460,134101,197401,0,0,199,13339504,834710,3117022,0,0,3786730,0,0,0,0,50,10687,0,77013,0,276773,107399,5583,0,236,328,0,114437,17718,85473,0,0,28055,0,572290,3557,10832,7354,0,0,0,0,0,0,0,0,0,0,292607,0,0
0,39379,0,2694,0,0,122666,0,22219,0,872545,0,2191,433029,0,0,1032,0,32164,0,0,35210149,5077975,0,0,0,0,60585,0,187,8173,0,0,0,1102,20770,0,0,3076,8329,0,0,0,0,320499,50509858,0,703838,14778,423639,0,0,0,0,0,0,0,22857,0,3049280,0,0,0,0,9253,0,0,0,129434,23437,58,0,4555,0,0,0,17765,0,0,0,0,136588,137757,0,39859,15956,94993,0,0,0,0,251785,0,0,0,0,28643,0,0
1367,4028,0,1800,0,10532,398,0,1177,0,0,1296,0,0,0,0,21912,0,93,0,0,0,0,0,0,0,0,107096,0,0,1828,0,46932,0,0,13418,0,0,250,1591,0,2362,557,0,51041,0,0,64474,8590,179961,34379,0,0,0,0,0,0,0,0,0,0,0,1960,313,1616,11953,59917,9238,253611,11509,2393,0,0,5256,0,0,10543,236452,0,0,65573,28177,15043,24,13058,0,0,0,25307,0,480650,0,0,0,0,190,21343,0,0
0,32513,0,2707,0,0,0,0,6425,0,874442,0,2201,434876,0,0,1041,0,32108,0,0,35428465,5101867,0,0,0,0,35289,0,187,1260,0,0,0,1107,20860,0,0,979,5292,0,0,0,0,323040,0,0,670336,14647,417820,0,0,0,0,0,0,0,23328,0,3067880,0,0,0,0,8234,0,0,0,45697,23550,30,0,4572,0,0,0,17844,0,0,0,0,137233,0,0,39940,16032,95505,0,0,0,0,252625,0,0,0,0,28060,0,0
1089,5572,0,0,4134,0,0,13887,0,0,367,0,2719,1701,13210,0,0,0,3233,946,0,0,0,0,164,0,0,19434,7961,0,0,0,0,0,2529,0,0,0,1155,2739,0,0,5127,0,1041472,123445,0,1236,1918,374746,0,0,0,0,0,0,0,200425,0,0,339324,0,0,0,9973,0,0,0,121335,3376,2806,7115,228,0,0,0,6726,0,0,0,0,0,0,0,107689,48414,0,2337,47029,0,4107,0,29323,0,0,0,409,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9433,0,5115,0,0,0,0,0,0,0,0,0,1709,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27035,0,0,0,0,0,0,0,0,0,0,0,0,0
67020,4623,24004,251,0,0,1608,4332,12009,35650,183,0,4126,0,752,66279,53843,547002,0,0,0,0,0,3444,655,10489,0,100397,0,180,0,2139,3942,0,0,178325,0,0,0,0,0,8235,0,14460,0,1482,0,46975,5555,324377,36104,0,2906,0,0,0,0,873557,0,0,0,88,11031,175,440,0,127056,69561,430100,233333,0,1527,10295,1156,13269,18241,228229,0,477133,0,0,313953,67212,4195,13769,0,3684,5547,0,0,221567,0,0,0,0,0,101186,0,0
10060,0,0,0,5234,0,0,0,0,0,0,0,0,0,2239,0,0,0,523,0,0,0,0,0,0,0,1812,0,0,0,6237,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3496,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,568,0,277,5756,918,0,0,0,0,0,0,677,0,0,0,0,42614,0,0,0,0,0,0,0,2265,0,0,0,0,0,412,536,0,0
0,0,3301,0,44860,2258,0,0,0,2131,0,82359,0,0,0,1296,6944,0,0,1196,681,57703524,436206,0,0,0,0,3069,1886,0,0,0,0,0,0,5024,0,0,0,0,0,0,0,11467,0,0,266,282,226,8122,0,0,0,0,0,0,0,0,0,459063,0,0,0,0,0,103,23481,0,24725,749,0,0,1926,0,0,0,0,0,0,0,0,199075,2538,0,0,0,0,0,0,13190,142482,0,0,184,0,0,3996,0,0
0,51205,0,0,0,0,0,0,0,0,118196,0,0,1796,0,0,961,0,12659,3403,0,0,0,0,0,10176,0,0,0,42858,939230,172694,0,0,124429,597516,0,10836065,1157,8168,0,0,59516,5569,0,0,0,460632,300440,450537,0,0,0,0,0,0,3594821,10745,2076403,4447,459,1869,86035,0,0,0,155894,0,66733,0,90866,0,0,0,0,164995,0,0,0,0,0,0,0,0,655412,9692,1330924,0,0,0,0,0,0,16468,0,0,336275,0,0
0,9817,0,113,2407,0,8673,0,4021,0,164,0,5146,5484,2826,149,778,0,613,1044,0,0,0,0,0,0,293890,106825,0,0,103811,553231,144061,159441,2475,0,482437,0,950,2828,0,17621,0,1081,51174,10128,0,98771,144557,801619,26763,0,47522,18050,0,1178,1361,0,1260,0,0,0,2026,0,6113,756,362,6442,153887,55751,712,364,114,0,0,8367,25955,0,9994,0,0,3945,0,0,74059,292511,1719,0,0,529,2295114,2429,237205,0,2283,26778,79415,0,4332
0,0,29171,0,0,0,161304,0,0,0,53,0,13023,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65574,0,0,4148,29454,0,0,436,578,0,28404,0,0,0,10736,4287,0,107667,23479,0,0,0,2986706,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2914444,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,129152,0,11725,10007,0,0,4940112,0,0,0,0,58151,9491,0,0
0,0,0,0,0,2544,65,0,0,0,0,0,0,0,0,0,720,0,0,0,0,0,0,0,0,0,0,701,0,0,1689,0,0,0,0,3794,0,2245,0,0,0,1888,0,0,446,5200314,0,0,0,7999,0,0,0,0,0,0,0,16198,0,0,809529,0,0,0,566,0,0,0,11857,25,0,0,0,0,0,0,0,0,15588,0,0,29211,481,0,1155,0,0,0,0,0,51165,0,0,0,0,0,483,0,15926
0,0,0,0,0,0,0,0,0,201,28,0,0,0,0,0,0,0,0,0,0,0,97211,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,514484,2331524,0,0,0,1116,0,0,0,522090,39683,63271,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28669,0,0,0,0,18139542,12392,0,0,0,0,0,0,0,0
0,374,0,0,0,0,0,0,0,0,13622,0,0,0,847,0,153,0,469,0,0,0,0,0,0,0,89,757,0,0,14846,6217,22258,0,0,0,34007,0,0,0,0,0,0,0,0,0,0,0,0,20851,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,533,244,661,19277,1080,0,880,0,0,0,0,0,0,4185,0,0,9663,0,0,1311,2499,0,0,0,0,0,0,0,0,0,25727,180,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2133606,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,151,0,479,0,0,0,0,0,0,1158,0,0,0,0,0,0,0,0,0,0,0,0,0,0,193,0,0,0,0,5360,1907,0,0
0,0,0,0,659742,0,39989,0,319129,0,1805,2376,0,347,0,43492,2163,0,0,0,0,0,0,0,0,0,0,22428,0,0,0,0,0,0,0,8805,0,0,0,0,0,0,0,0,0,31311473,0,5713,1804,193689,0,8517509,2608,0,0,0,0,246565,0,0,334243,0,1444,0,1277,0,175253,326100,333949,0,223,0,0,0,0,0,0,0,0,10745,0,648201,1391621,0,272,0,0,0,0,0,18537,0,0,0,0,0,5939,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12565713,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19139,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2642,0,0,0,0,0,0,0,0,0,0,0,3867,0,22760,0,0,1989,0,1273,0,0,0,0,0,0,0,10957548,0,4918,2268,761,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,389,0,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11964,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,183554,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54271324,3722961,12750074,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,1406,0,0,0,12399,804,5168,342784,191225,0,0,0,0,0,0,0,0,1703,0,0,9726,0,2182,0,0,0,1257,0,0,0,0,9548,1039,0,0,0,0,0,0,0,0,0,0,521200,24780194,0,24,8134,0,0,0,1075,0,0,0,0,0,0,0,0,0,0,0,0,0,753,0,7315,609,0,0,0,0,0,0,0,0,0,0,0,0,380,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
471182,10146,0,2100,0,0,0,0,0,0,349,0,0,245,1207,164,237,0,89017,0,0,0,0,0,0,0,0,10460,0,0,358029,51314,0,0,4398,104231,0,233390,180,265,0,33322,7144,0,22345,47656074,0,34463,9988,281044,3280,0,0,0,0,0,0,0,0,0,0,0,3755,0,3638,0,134274,0,260818,0,4817,0,0,0,0,0,7956,0,0,0,0,125523,79895,960,17713,37868,0,0,0,0,105217,0,0,0,0,1543,79187,41665,0
0,15523,0,0,0,0,5266,0,13751,0,0,26,0,0,0,0,10266,0,98,0,0,0,0,0,0,0,83550,15881,0,0,2057,0,621176,4645,0,0,25413,0,513,560432,2117,0,0,2462,0,0,0,15934,36587,4355,0,0,756,0,0,0,0,0,0,0,0,0,6306,0,395,0,75876,21595,48440,4991,1892,0,0,0,4878,0,19313,0,0,245507,0,5160,328277,0,0,0,0,0,2749,0,0,0,2254,0,0,2591,49787,0,0
0,0,0,0,0,9963,342,0,1288,2937,0,0,0,0,50,2194,4198,0,0,0,0,0,0,0,0,0,0,30547,0,0,0,0,0,0,0,7220,0,0,0,0,0,0,0,3361,0,0,0,0,1225,63465,0,0,0,0,0,0,1999850,0,2317993,0,0,0,0,0,0,0,15553,0,98318,18740,87,58,0,9571,0,4531,0,45008,0,0,8449,385234,272088,0,9298611,0,0,0,0,0,224466,0,0,0,0,0,17174,0,0
0,0,4573,0,0,0,0,0,9340,0,0,0,0,0,0,0,0,0,0,0,0,0,38771,0,0,0,0,2181,0,0,0,321,38678,0,0,0,24468,0,0,0,0,0,0,0,0,25568380,0,0,2492,10488,0,0,0,0,0,0,0,15795,0,83525,0,0,0,0,0,0,0,0,9465,159,0,0,193,0,0,0,0,0,0,0,0,66833,27461,0,0,0,0,0,0,0,0,0,0,0,0,0,1181,0,0
3258,0,0,0,0,960,0,0,994,0,0,7967,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2611632,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2043,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
195224,1146718,0,0,0,0,0,2128537,0,0,46788,0,0,0,0,0,0,0,0,20122,16133,0,68366,19429,90,0,0,436518,0,0,2478,1768,43419,13788,0,0,0,0,0,847,7388,0,0,0,0,14762080,28784,42424,169318,286529,0,0,205,0,0,0,0,186231,0,0,628243,0,0,0,7039,0,195245,0,366148,0,6304,23257,0,0,0,0,17822,0,0,0,0,0,0,0,29842,3061,0,0,0,0,0,0,0,758,581,8763,213775,0,0
0,0,0,0,39060,0,4465,0,0,0,0,0,0,0,0,2221,1238,0,4112,0,0,0,0,0,0,0,0,4142,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16828101,0,2194,0,1032,0,0,0,0,0,0,0,0,87944,0,0,0,0,0,0,0,10287,0,18820,12048,0,521,3613,973,0,0,0,721,0,0,0,150773,16037,0,0,0,0,0,0,0,0,0,0,0,0,0,1281,0,0
0,0,0,0,0,12190,443,0,17527,101821,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3375,0,0,0,0,0,0,0,31089,0,0,0,0,0,0,0,0,1048,4758974,0,1356,0,10785,0,0,0,0,0,0,0,21253,0,0,0,0,0,0,912,0,0,0,10608,2002,0,0,45,0,0,0,32493,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,90973,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,213,0,0,0,0,0,0,0,0,0,0,0,0,0,21415,0,0,0,0,0,0,0,0,0,2903,0,0,0,724,130,0,0,62112014,2522100,20828944,0,0,0,0,0,0,0,0,0,0,0,0,52,0,0,0,0,0,0,0,686,0,0,0,0,18825,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9093,0,0
0,0,0,0,0,0,468964,0,20282174,0,0,0,0,0,0,0,0,0,0,0,0,0,15711,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4148439,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,78,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,1303,215,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2750,0,0,22621470,0,0,0,0,10299,0,0,0,0,0,0,56,0,0,0,0,0,0,0,0,0,0,0,483,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9490,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16912,0,0,0,92921,0,147413,252282,406856,0,0,0,0,0,0,0,34494,0,367,0,0,0,0,117839,0,0,0,38200,0,0,0,0,18700,0,0,0,4082,0,0,0,107,0,0,0,0,801817,0,52427,4078,8924,0,0,432,0,0,0,0,78408,0,0,0,0,0,0,0,0,0,15517,132439,9925,0,972,829,0,6656,0,606,0,0,1863,0,86748,335926,0,0,0,0,0,0,0,761221,0,0,0,0,3605,1077,0,0
1374,34401,0,3991,36264,0,35398,0,2839,0,159,0,3197,273,335322,1640,12455,0,7404,0,0,0,0,0,0,0,5281,328316,0,0,107388,86940,1076573,0,1266,92430,499647,37104,472,982,0,0,0,0,0,0,0,62629,22504,233390,574586,0,6970,27257,0,0,0,0,0,0,0,0,10887,11903,2721,179615,44943,471,172773,533346,40361,215364,938,1502,54227,0,509886,0,0,0,0,265953,116644,1464,42667,0,0,0,0,0,3823,0,0,0,0,44358,320192,0,0
0,4200,4017,0,20040,0,17810,179356,19577,0,396,0,5673,455,0,0,121,0,0,631,4464,0,0,3001,3838,1541,0,78823,9411,0,2691,0,0,4915,0,5780,0,0,0,0,5167,33743,0,6300,196639,1011202,5899,25309,26141,7490,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9753,0,68468,0,2156,0,0,9142,8172,0,45032,4789,0,73858,681,0,38577,0,51055,0,1179,0,0,0,0,0,0,0,0,0,4581,703,0
0,0,0,0,1405,1456,0,0,0,0,0,0,0,0,0,0,54528,0,97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32230220,0,0,0,1974,0,0,0,0,0,0,0,0,0,0,18015,0,0,0,0,0,0,2551,9282,2164,0,0,0,0,0,0,28642,0,0,0,0,0,0,0,0,0,0,0,0,0,68406,0,0,0,0,0,0,0,0